name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,company
chevelle malibu,18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet
skylark 320,15.0,8,350.0,165.0,3693,11.5,70,usa,buick
satellite,18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth
rebel sst,16.0,8,304.0,150.0,3433,12.0,70,usa,amc
torino,17.0,8,302.0,140.0,3449,10.5,70,usa,ford
galaxie 500,15.0,8,429.0,198.0,4341,10.0,70,usa,ford
impala,14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet
fury iii,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth
catalina,14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac
ambassador dpl,15.0,8,390.0,190.0,3850,8.5,70,usa,amc
challenger se,15.0,8,383.0,170.0,3563,10.0,70,usa,dodge
'cuda 340,14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth
monte carlo,15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet
estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,70,usa,buick
corona mark ii,24.0,4,113.0,95.0,2372,15.0,70,japan,toyota
duster,22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth
hornet,18.0,6,199.0,97.0,2774,15.5,70,usa,amc
maverick,21.0,6,200.0,85.0,2587,16.0,70,usa,ford
pl510,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun
1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen
504,25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot
100 ls,24.0,4,107.0,90.0,2430,14.5,70,europe,audi
99e,25.0,4,104.0,95.0,2375,17.5,70,europe,saab
2002,26.0,4,121.0,113.0,2234,12.5,70,europe,bmw
gremlin,21.0,6,199.0,90.0,2648,15.0,70,usa,amc
f250,10.0,8,360.0,215.0,4615,14.0,70,usa,ford
c20,10.0,8,307.0,200.0,4376,15.0,70,usa,chevrolet
d200,11.0,8,318.0,210.0,4382,13.5,70,usa,dodge
1200d,9.0,8,304.0,193.0,4732,18.5,70,usa,hi
pl510,27.0,4,97.0,88.0,2130,14.5,71,japan,datsun
vega 2300,28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet
corona,25.0,4,113.0,95.0,2228,14.0,71,japan,toyota
gremlin,19.0,6,232.0,100.0,2634,13.0,71,usa,amc
satellite custom,16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth
chevelle malibu,17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet
torino 500,19.0,6,250.0,88.0,3302,15.5,71,usa,ford
matador,18.0,6,232.0,100.0,3288,15.5,71,usa,amc
impala,14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet
catalina brougham,14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac
galaxie 500,14.0,8,351.0,153.0,4154,13.5,71,usa,ford
fury iii,14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth
monaco (sw),12.0,8,383.0,180.0,4955,11.5,71,usa,dodge
country squire (sw),13.0,8,400.0,170.0,4746,12.0,71,usa,ford
safari (sw),13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac
hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,71,usa,amc
vega (sw),22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet
firebird,19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac
mustang,18.0,6,250.0,88.0,3139,14.5,71,usa,ford
capri 2000,23.0,4,122.0,86.0,2220,14.0,71,usa,mercury
1900,28.0,4,116.0,90.0,2123,14.0,71,europe,opel
304,30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot
124b,30.0,4,88.0,76.0,2065,14.5,71,europe,fiat
corolla 1200,31.0,4,71.0,65.0,1773,19.0,71,japan,toyota
1200,35.0,4,72.0,69.0,1613,18.0,71,japan,datsun
model 111,27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen
cricket,26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth
corona hardtop,24.0,4,113.0,95.0,2278,15.5,72,japan,toyota
colt hardtop,25.0,4,97.5,80.0,2126,17.0,72,usa,dodge
type 3,23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen
vega,20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet
pinto runabout,21.0,4,122.0,86.0,2226,16.5,72,usa,ford
impala,13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet
catalina,14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac
fury iii,15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth
galaxie 500,14.0,8,351.0,153.0,4129,13.0,72,usa,ford
ambassador sst,17.0,8,304.0,150.0,3672,11.5,72,usa,amc
marquis,11.0,8,429.0,208.0,4633,11.0,72,usa,mercury
lesabre custom,13.0,8,350.0,155.0,4502,13.5,72,usa,buick
delta 88 royale,12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile
newport royal,13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler
rx2 coupe,19.0,3,70.0,97.0,2330,13.5,72,japan,mazda
matador (sw),15.0,8,304.0,150.0,3892,12.5,72,usa,amc
chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet
gran torino (sw),13.0,8,302.0,140.0,4294,16.0,72,usa,ford
satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth
